países;quantidade;valor;ano;opcao
Países Baixos;-;-;1971;Espumantes
Panamá;-;-;1971;Espumantes
Peru;-;-;1971;Espumantes
Portugal;2.054;3.090;1971;Espumantes
Reino Unido;-;-;1971;Espumantes
Romênia;-;-;1971;Espumantes
Suíça;-;-;1971;Espumantes
Tunísia;-;-;1971;Espumantes
Ucrânia;-;-;1971;Espumantes
Uruguai;-;-;1971;Espumantes
Não consta na tabela;-;-;1971;Espumantes
Não declarados;-;-;1971;Espumantes
Outros;3.772;2.358;1971;Espumantes
Total;49.964;91.736;1971;Espumantes
Argélia;-;-;1971;Uvas frescas
Argentina;1.805.310;684.328;1971;Uvas frescas
Brasil;-;-;1971;Uvas frescas
Chile;1.485.897;381.705;1971;Uvas frescas
Colômbia;3.312;2.168;1971;Uvas frescas
Egito;-;-;1971;Uvas frescas
Espanha;1.371.457;433.924;1971;Uvas frescas
Estados Unidos;12.403;5.760;1971;Uvas frescas
Grécia;74.700;14.940;1971;Uvas frescas
Itália;9.960;1.195;1971;Uvas frescas
México;12.000;4.800;1971;Uvas frescas
Peru;-;-;1971;Uvas frescas
Paraguai;-;-;1971;Uvas frescas
Portugal;800;438;1971;Uvas frescas
Panamá;-;-;1971;Uvas frescas
Reino Unido;-;-;1971;Uvas frescas
Uruguai;-;-;1971;Uvas frescas
Venezuela;400;511;1971;Uvas frescas
Não consta na tabela;-;-;1971;Uvas frescas
Outros;-;-;1971;Uvas frescas
Total;4.776.239;1.529.769;1971;Uvas frescas
Afeganistão;-;-;1971;Uvas passas
África do Sul;-;-;1971;Uvas passas
Alemanha, República Democrática;-;-;1971;Uvas passas
Arábia Saudita;-;-;1971;Uvas passas
Argentina;1.206.326;936.632;1971;Uvas passas
Austrália;-;-;1971;Uvas passas
Bélgica;-;-;1971;Uvas passas
Chile;-;-;1971;Uvas passas
China;-;-;1971;Uvas passas
China Continental;-;-;1971;Uvas passas
Cingapura;-;-;1971;Uvas passas
Costa Rica;-;-;1971;Uvas passas
Emirados;-;-;1971;Uvas passas
Espanha;15.000;14.403;1971;Uvas passas
Estados Unidos;429.346;292.067;1971;Uvas passas
França;-;-;1971;Uvas passas
Grécia;302.825;95.349;1971;Uvas passas
Guiana Britânica;-;-;1971;Uvas passas
Índia;-;-;1971;Uvas passas
Irã;-;-;1971;Uvas passas
Itália;27.860;7.104;1971;Uvas passas
Japão;7.221;4.458;1971;Uvas passas
México;209.257;129.483;1971;Uvas passas
Países Baixos;-;-;1971;Uvas passas
Paraguai;-;-;1971;Uvas passas
Peru;-;-;1971;Uvas passas
Portugal;-;-;1971;Uvas passas
Reino Unido;211;174;1971;Uvas passas
Suécia;-;-;1971;Uvas passas
Turquia;306.025;88.018;1971;Uvas passas
Uruguai;-;-;1971;Uvas passas
Uzbequistão;-;-;1971;Uvas passas
Venezuela;-;-;1971;Uvas passas
Não consta na tabela;-;-;1971;Uvas passas
Outros;-;-;1971;Uvas passas
Total;2.504.071;1.567.688;1971;Uvas passas
Africa do Sul;-;-;1971;Suco de uva
Alemanha;-;-;1971;Suco de uva
Argentina;-;-;1971;Suco de uva
Austria;-;-;1971;Suco de uva
Canadá;-;-;1971;Suco de uva
Coreia do Sul, República;-;-;1971;Suco de uva
Coreia do Norte, República;-;-;1971;Suco de uva
Chile;-;-;1971;Suco de uva
China;-;-;1971;Suco de uva
Dinamarca;34;16;1971;Suco de uva
Espanha;-;-;1971;Suco de uva
Estados Unidos;210;777;1971;Suco de uva
França;81;48;1971;Suco de uva
Guiana;-;-;1971;Suco de uva
Israel;-;-;1971;Suco de uva
itália;-;-;1971;Suco de uva
Japão;-;-;1971;Suco de uva
Líbano;-;-;1971;Suco de uva
México;-;-;1971;Suco de uva
Países Baixos;-;-;1971;Suco de uva
Panamá;-;-;1971;Suco de uva
Peru;-;-;1971;Suco de uva
Portugal;160;109;1971;Suco de uva
Reino Unido;-;-;1971;Suco de uva
Taiwan;-;-;1971;Suco de uva
Turquia;-;-;1971;Suco de uva
Uruguai;-;-;1971;Suco de uva
Venezuela;-;-;1971;Suco de uva
Outros;-;-;1971;Suco de uva
Total;485;950;1971;Suco de uva
Africa do Sul;-;-;1972;Vinhos de mesa
Alemanha;134.438;92.103;1972;Vinhos de mesa
Argélia;-;-;1972;Vinhos de mesa
Arábia Saudita;-;-;1972;Vinhos de mesa
Argentina;104.906;58.137;1972;Vinhos de mesa
Armênia;-;-;1972;Vinhos de mesa
